Season,Latitude,DELTA_crossing,area_albedo_cloud,area_albedo_cloud_check,area_albedo,Carbon_eq,Carbon_eq_cloud
1,0,0.9270702639775177,490264.24953451403,-291401.39180606045,938155.3935980395,0.0016970425065210295,0.0016970425065210295
1,1,0.8622549968640847,542956.4809284494,-371856.15106767975,947402.0359730528,0.001885602785023366,0.001885602785023366
1,2,1.1373307414918123,-793904.7189714375,-801458.905792851,956978.7474650338,-0.0028284041775350492,-0.0028284041775350492
1,3,1.7860717196051148,-1732916.175516868,-1737829.94235879,966884.2876489204,-0.006222489190577108,-0.006222489190577108
1,4,2.7095930486984052,-3024175.3278639945,-3027040.15685427,977117.1620515961,-0.010842216013884355,-0.010842216013884355
1,5,3.9577232392847783,-4594521.693685817,-4598214.086980965,987675.5930900136,-0.016499024368954455,-0.016499024368954455
1,6,5.612181936555917,-6216259.954471609,-6215894.643111687,998557.4883157648,-0.02234439300252689,-0.02234439300252689
1,7,,-7217244.413441529,-7220577.247313773,1009760.405711761,-0.025927038294071284,-0.025927038294071284
1,8,,-7345223.668361066,-7348481.610012503,1021281.5157579983,-0.026398438990327126,-0.026398438990327126
1,9,,-7490315.201074925,-7492601.914863018,1033117.5599512679,-0.026869839686582967,-0.026869839686582967
1,10,7.86119410247014,-7549945.802042845,-7523956.079335203,1045264.8054273177,-0.027058399965085304,-0.027058399965085304
1,11,5.580213446358876,-6319081.502237989,-6321928.458473938,1057718.9952933157,-0.022627233420280394,-0.022627233420280394
1,12,5.336238582510427,-6047321.728710198,-6048770.112501528,1070475.2942321312,-0.02168443202776871,-0.02168443202776871
1,13,4.56258022733557,-5012909.071594397,-5013560.775421055,1083528.2288879254,-0.018007506596973148,-0.018007506596973148
1,14,3.633664194259012,-3771484.5341034126,-3773250.8805454057,1096871.62248328,-0.013576340052168236,-0.013576340052168236
1,15,2.5874268738116086,-2463398.247925391,-2465744.2968871817,1110498.523050682,-0.008862333089609821,-0.008862333089609821
1,16,0.7663817508943911,712729.7121709022,-197859.8963010125,1124401.124584884,0.0026398438990327126,0.0026398438990327126
1,17,-0.35083703799755206,755786.3326973722,1229843.5316658039,1126741.9299374688,0.0026398438990327126,0.0026398438990327126
1,18,-0.8417158097607675,745929.4983666292,1921843.3631383236,1126597.6189794717,0.0026398438990327126,0.0026398438990327126
1,19,-0.9326067279991808,772963.6896053099,2088912.5705785677,1134508.0585534072,0.0028284041775350492,0.0028284041775350492
1,20,-0.43091619046101926,833681.8907035731,1440451.0825404674,1146553.7132073317,0.003016964456037386,0.003016964456037386
1,21,-0.649619690015971,831848.9094672205,1744322.4644721188,1158816.5182849432,0.003016964456037386,0.003016964456037386
1,22,-1.4496343866275492,2775559.7915124353,2792932.0274381116,1171289.2886884643,0.00999369476062384,0.00999369476062384
1,23,-1.624598053152127,2980856.4833422834,2984869.6455653533,1184601.3265467256,0.010747935874633187,0.010747935874633187
1,24,-1.4850071276491388,2773555.652491603,2791652.4503500797,1198729.775014678,0.00999369476062384,0.00999369476062384
1,25,-1.0292257209459432,2236719.9718086165,2241904.459841188,1212382.3287992235,0.008108091975600475,0.008108091975600475
1,26,-0.4625063087358843,943365.0598607954,1554687.5753028933,1226809.203124108,0.003394085013042059,0.003394085013042059
1,27,-0.633768311219475,921355.0796487784,1771370.3399032764,1241352.2532375425,0.003394085013042059,0.003394085013042059
1,28,-0.24174813611074697,952210.8376063418,1279626.9792237207,1256608.8671279566,0.003394085013042059,0.003394085013042059
1,29,-0.046906602509931616,967809.2027376748,1030921.8819673695,1271301.8930334416,0.003394085013042059,0.003394085013042059
1,30,0.22894821774297824,945789.6898857257,675876.1553160548,1286026.9252643532,0.003394085013042059,0.003394085013042059
1,31,0.7655579266507164,873146.5571306943,-8589.08765167743,1287322.3587164518,0.0032055247345397224,0.0032055247345397224
1,32,1.0961839399429696,-409305.4907880916,-415884.46435239725,1279153.9587719634,-0.001508482228018693,-0.001508482228018693
1,33,1.3511298994609753,-638095.0629500324,-647227.6867141165,1282538.917891909,-0.0022627233420280395,-0.0022627233420280395
1,34,1.7865796315738027,-920845.1621501737,-926621.0529973898,1289813.2664661705,-0.0032998048737908907,-0.0032998048737908907
1,35,1.4716450907299095,-468008.074832293,-501782.679217333,1299825.7041390424,-0.0016970425065210295,-0.0016970425065210295
1,36,1.015718052395707,-73759.76098763815,-89394.39970543422,1310757.7316051084,-0.00028284041775350493,-0.00028284041775350493
1,37,1.0445804200808748,-138376.82123372983,-152814.775110811,1321412.9038835757,-0.0004714006962558415,-0.0004714006962558415
1,38,0.6265990504505652,754416.9635289034,224745.04506296478,1332827.2675545416,0.0026398438990327126,0.0026398438990327126
1,39,0.2896337874443109,788179.5790218315,570413.7118305992,1343805.2267229168,0.0028284041775350492,0.0028284041775350492
1,40,0.033403959405557515,827213.2454412648,802199.8865593281,1353746.58307348,0.003016964456037386,0.003016964456037386
1,41,-0.03096205942382113,847955.5285321027,893364.8532749824,1364654.060178849,0.003016964456037386,0.003016964456037386
1,42,-0.06012548271888285,830340.7204027078,890975.5220827386,1344038.5759512186,0.003016964456037386,0.003016964456037386
1,43,-0.0919545355726683,823844.5571509355,917166.0147388764,1331814.6077676662,0.003016964456037386,0.003016964456037386
1,44,-0.2396642756470957,802979.2379547935,1042460.1112172864,1324820.4048767362,0.0028284041775350492,0.0028284041775350492
1,45,-0.4173743894672466,780538.9331197758,1191587.6496158913,1325214.0375812538,0.0028284041775350492,0.0028284041775350492
1,46,-0.8253088352329829,745423.1975828467,1581837.2848475259,1326314.456963201,0.0026398438990327126,0.0026398438990327126
1,47,-1.2490834339482095,1995420.2748519746,2002341.7400420625,1327023.9509629037,0.007165290583088791,0.007165290583088791
1,48,1.6074856605145573,-432375.52100775513,-403864.1096608173,1327503.4561105166,-0.001508482228018693,-0.001508482228018693
1,49,3.8824278949826923,-1955805.0022292323,-1983674.3241167534,1323825.9296579477,-0.006976730304586455,-0.006976730304586455
1,50,,-6483906.514961391,-6519597.659313559,1276680.9060951923,-0.023287194395038572,-0.023287194395038572
1,51,,-6261307.992047082,-6309794.381310892,1251401.1460836127,-0.022438673141778057,-0.022438673141778057
1,52,,-6055677.377289181,-6106825.472243275,1230472.183117376,-0.02168443202776871,-0.02168443202776871
1,53,,-5863163.921897006,-5911383.817186377,1213179.6237586485,-0.021024471053010533,-0.021024471053010533
1,54,,-5641744.319629679,-5651266.791932977,1194189.7800084746,-0.020270229939001187,-0.020270229939001187
1,55,,-5454746.170146611,-5467246.864339932,1137378.5309539288,-0.01961026896424301,-0.01961026896424301
1,56,,-5185463.844036685,-5202743.912253519,1089156.8456695124,-0.018573187432480157,-0.018573187432480157
1,57,,-5094437.969701541,-5127502.914259897,1044276.1198504312,-0.018290347014726652,-0.018290347014726652
1,58,-0.2840316362481552,501056.7240454051,771944.294121353,1002412.0139341824,0.001885602785023366,0.001885602785023366
1,59,,6043789.076470281,6060490.8291562805,925063.5036237767,0.02168443202776871,0.02168443202776871
1,60,,5432460.94409848,5443941.580911666,853090.6352502911,0.019421708685740672,0.019421708685740672
1,61,,5073297.958473515,5084421.614632315,785408.6164687668,0.018290347014726652,0.018290347014726652
1,62,,4611368.368471428,4621893.744582437,688037.2522194718,0.016593304508205623,0.016593304508205623
1,63,,4232460.839693132,4246950.278822628,603921.4854799691,0.015273382558689265,0.015273382558689265
1,64,,494978.32506100903,494978.3250610074,494978.32506100903,0.0016970425065210295,0.0016970425065210295
1,65,,-2490157.927529722,-2499914.6016900307,399049.39807128656,-0.00895661322886099,-0.00895661322886099
2,0,1.9055393152951776,-1126562.6717376255,-1138974.8506210465,901233.816672211,-0.0040540459878002375,-0.0040540459878002375
2,1,1.0714430610721237,-400261.3424940335,-406239.2221696563,897469.0240520102,-0.0014142020887675246,-0.0014142020887675246
2,2,0.6714951997838163,479797.8705060523,-71892.14707684703,894027.9085759206,0.0016970425065210295,0.0016970425065210295
2,3,0.579642693036611,492225.3129826541,-13229.362517163157,890910.5078511796,0.0016970425065210295,0.0016970425065210295
2,4,0.6854176419669926,494311.3814781745,-156285.33247335814,888116.8152798588,0.0016970425065210295,0.0016970425065210295
2,5,1.0131209791469082,-543947.8704447565,-549309.2756803054,885646.7855589006,-0.0019798829242745346,-0.0019798829242745346
2,6,1.5249709520738488,-1205857.2140545067,-1208826.779379623,883500.3392944146,-0.004336886405553742,-0.004336886405553742
2,7,2.0994545086886713,-1988496.6831911807,-1991598.5238656364,881677.3667614919,-0.007165290583088791,-0.007165290583088791
2,8,2.555343079084885,-2590893.1182821663,-2592874.10870455,880177.7308347934,-0.009333733785865663,-0.009333733785865663
2,9,2.9120951096790897,-3060570.437455852,-3064091.647812564,879001.2691090801,-0.010936496153135524,-0.010936496153135524
2,10,3.0573585134589134,-3242753.25636041,-3245043.700896371,878147.7952229981,-0.011596457127893702,-0.011596457127893702
2,11,2.8760204447243822,-2968566.116705973,-2975138.2299722433,877617.0993938263,-0.010653655735382019,-0.010653655735382019
